Stock no,Description,As is,18K Code,14K Code,10K Code,9K Code,Silver Code,Gold weight,1st Stn,1st Stn qty,1st Stn weight,2nd Stn,2nd Stn qty,2nd Stn weight,3rd Stn,3rd Stn qty,3rd Stn weight,4th Stn,4th Stn qty,4th Stn weight
184467,"EM RING, WG, #18667",82148,93469,88185,82907,81778,74834,3.59,EM,1,0.97,TD,2,0.4,DA,34,0.45,,0,0
177045,"RU RING, WG, #17776",78893,91648,85713,79787,78526,70729,4.03,RU,2,1.61,PS,4,0.49,MQ,2,0.1,DA,10,0.51
183674,"SA RING, WG, #15930",22394,34198,28676,23219,22065,14835,3.73,SA,2,1.2,DA,16,0.22,,0,0,,0,0
176552,"RU RING, WG, #16688",21269,29373,25597,21851,21041,16084,2.56,RU,6,0.9,DA,7,0.2,DA,4,0.07,DA,32,0.17
185479,"RU RING, WG, #18320",11873,17681,15077,12512,11953,8545,1.76,RU,6,0.58,DA,1,0.08,DA,12,0.07,,0,0
183494,"RU RING, WG, #14107",27308,36045,31966,27936,27063,21717,2.76,RU,1,1,DA,28,0.34,,0,0,,0,0
183693,"EM RING, YG, #17885",20668,27758,24460,21166,20468,16130,2.24,EM,5,1.22,,0,0,,0,0,,0,0
183878,"SA RING, YG, #18306",16716,22041,18646,15302,14595,10154,2.29,SA,9,3,DA,9,0.08,,0,0,,0,0
177179,"RU RING, WG, #16911",31319,43759,35871,28028,26340,15987,5.35,RU,1,0.46,RU,4,0.95,DA,6,0.06,DA,42,0.26
176011,"RU RING, WG, #17608",29467,40769,33587,26485,24939,15541,4.86,RU,7,0.88,DA,6,0.06,DA,44,0.31,,0,0
185083,"SA RING, WG, #15522",25124,33867,29950,26075,25249,20111,2.65,SA,5,1.4,DA,4,0.14,DA,72,0.27,,0,0
182395,"RU RING, WG, #17843",12806,18154,15669,13179,12661,9382,1.69,RU,5,0.91,DA,6,0.1,DA,8,0.04,,0,0
180684,"RU RING, WG, #16661",22541,35739,29567,23490,22175,14094,4.17,RU,6,1.1,DA,50,0.25,,0,0,,0,0
176834,"RU RING, WG, #17728",25334,35019,30485,26028,25074,19135,3.06,RU,5,1.75,DA,78,0.3,,0,0,,0,0
176789,"RU RING, WG, #17723",14696,22353,18773,15249,14491,9791,2.42,RU,1,0.51,DA,12,0.17,,0,0,,0,0
182366,"SA RING, WG, #18504",23810,29738,25973,22240,21432,16501,2.55,SA,1,0.86,DA,60,0.32,,0,0,,0,0
183639,"RU RING, WG, #17777",24515,29679,26403,23163,22441,18155,2.22,RU,1,0.75,DA,66,0.29,,0,0,,0,0
185170,"SA RING, WG, #10190",17262,25545,21824,18171,17370,12516,2.51,SA,1,0.94,DA,11,0.28,,0,0,,0,0
181281,"SA RING, WG, #18383",66835,77245,72375,67566,66545,60167,3.29,SA,1,1.68,DA,36,0.6,,0,0,,0,0
183700,"RU RING, WG, #16897",70539,81262,76477,71706,70691,64391,3.25,RU,1,1.47,OV,2,0.27,BG,2,0.17,DA,22,0.55
176927,"RU RING, WG, #15910",65428,74196,70106,66063,65188,59817,2.77,RU,1,1.3,DA,10,0.56,DA,10,0.13,DA,10,0.06
182311,"RU RING, WG, #18372",36389,44617,40798,36973,36156,31121,2.6,RU,1,1.12,RU,14,0.7,DA,10,0.14,DA,22,0.08
185718,"RU RING, WG, #16875",52513,59539,56403,53265,52614,48482,2.13,RU,1,1.33,DA,4,0.13,DA,4,0.05,DA,8,0.04
178250,"EM RING, WG, #14110",34524,43606,39364,35179,34258,28708,2.87,EM,1,1.63,DA,16,0.28,,0,0,,0,0
184921,"EM RING, WG, #15623",25355,29772,26973,24186,23575,19909,1.9,EM,1,0.79,DA,36,0.25,,0,0,,0,0
180899,"RU RING, WG, #7938",45700,55131,50726,46357,45446,39662,2.98,RU,1,1,DA,14,0.26,,0,0,,0,0
